IdGame;Name;Year;Publisher
1;007 Racing;2000;Electronic Arts
2;007: The World is not Enough;2000;Electronic Arts
3;007: Tomorrow Never Dies;1999;Electronic Arts
4;1 vs. 100;2008;DSI Games
5;1701 A.D.;2006;Deep Silver
6;2002 FIFA World Cup;2002;Electronic Arts
7;2010 FIFA World Cup South Africa;2010;Electronic Arts
8;2014 FIFA World Cup Brazil;2014;Electronic Arts
9;24: The Game;2006;Sony Computer Entertainment
10;25 to Life;2006;Eidos Interactive
11;300: March to Glory;2007;Warner Bros. Interactive Entertainment
12;3D Dot Game Heroes;2009;SouthPeak Games
13;4 Elements;2009;Mastertronic
14;40 Winks;1999;GT Interactive
15;4x4 EVO 2;2001;Gathering of Developers
16;50 Cent: Blood on the Sand;2009;THQ
17;50 Cent: Bulletproof;2005;Vivendi Games
18;7 Days to Die;2016;Telltale Games
19;7 Wonders of the Ancient World;2007;Funsta
20;A Boy and His Blob;2009;Majesco Entertainment
21;A Bug's Life;1998;Activision
22;A Bug's Life;1998;Sony Computer Entertainment
23;A Game of Thrones: Genesis;2011;Focus Home Interactive
24;A Vampyre Story;2008;Crimson Cow
25;A Witch's Tale;2009;Nippon Ichi Software
26;A-Train;1995;Sony Computer Entertainment
27;AC/DC LIVE: Rock Band Track Pack;2008;MTV Games
28;Ace Attorney Investigations: Miles Edgeworth;2009;Capcom
29;Ace Combat 2;1997;Sony Computer Entertainment
30;Ace Combat 3: Electrosphere;1999;Sony Computer Entertainment
31;Ace Combat 5: The Unsung War;2004;Sony Computer Entertainment Europe
32;Ace Combat 6: Fires of Liberation;2007;Atari
33;Ace Combat X: Skies of Deception;2006;Namco Bandai Games
34;Ace Combat Zero: The Belkan War;2006;Namco Bandai Games
35;Ace Combat: Joint Assault;2010;Namco Bandai Games
36;Action Bass;2000;Take-Two Interactive
37;Active Life: Extreme Challenge;2009;Namco Bandai Games
38;Activision Anthology;2002;Activision
39;Activision Anthology;2003;Activision
40;Adidas Power Soccer;1996;Psygnosis
41;Adrenalin Misfits;2010;Konami Digital Entertainment
42;Advance Guardian Heroes;2004;Ubisoft
43;Advance Wars;2001;Nintendo
44;Advance Wars 2: Black Hole Rising;2003;Nintendo
45;Advance Wars: Days of Ruin;N/A;Nintendo
46;Advance Wars: Dual Strike;2005;Nintendo
47;Advent Rising;2005;THQ
48;Adventure Island;1986;Hudson Soft
49;Adventure Time: Explore the Dungeon Because I Don't Know!;2013;D3Publisher
50;Adventures of Lolo;1989;HAL Laboratory
51;Aeon Flux;2005;THQ
52;Aero Elite: Combat Academy;2002;Sega
53;Aero Gauge;1997;ASCII Entertainment
54;AeroFighters Assault;1997;Video System
55;Afrika;2008;Unknown
56;Afro Samurai;2009;Atari
57;Again;2009;Ackkstudios
58;Agatha Christie: And Then There Were None;2008;The Adventure Company
59;Agatha Christie: Death on the Nile;2008;Big Fish Games
60;Agatha Christie: Evil Under the Sun;2008;The Adventure Company
61;Age of Conan: Rise of the Godslayer;2010;Funcom
62;Age of Empires II: The Age of Kings;1999;Microsoft Game Studios
63;Age of Empires III;2005;Microsoft Game Studios
64;Age of Empires III: The Asian Dynasties;2007;Microsoft Game Studios
65;Age of Empires Online;2011;Microsoft Game Studios
66;Age of Empires: Mythologies;2008;THQ
67;Age of Empires: The Age of Kings;2006;THQ
68;Age of Mythology;2002;Microsoft Game Studios
69;Age of Mythology: The Titans;2003;Microsoft Game Studios
70;Aggressive Inline;2002;Acclaim Entertainment
71;Agile Warrior F-111X;1995;Virgin Interactive
72;Aidyn Chronicles: The First Mage;2001;THQ
73;Air Combat;1995;Sony Computer Entertainment
74;Air Conflicts: Aces of World War II;2009;Graffiti
75;Air Conflicts: Secret Wars;2011;bitComposer Games
76;Air Traffic Chaos;2007;Ertain
77;Airblade;2001;Sony Computer Entertainment
78;Airborne Troops: Countdown to D-Day;2005;Playlogic Game Factory
79;AirForce Delta Storm;2001;Konami Digital Entertainment
80;AirForce Delta Storm;2002;Konami Digital Entertainment
81;AirForce Delta Strike;2004;Konami Digital Entertainment
82;Airline Tycoon;2000;Interplay
83;Akuji the Heartless;1998;Eidos Interactive
84;Alan Wake;2010;Microsoft Game Studios
85;Alan Wake;2012;Nordic Games
86;Alex Rider: Stormbreaker;N/A;THQ
87;Alexi Lalas International Soccer;1998;Take-Two Interactive
88;Alfa Romeo Racing Italiano;2005;Black Bean Games
89;Alias;2004;Acclaim Entertainment
90;Alice: Madness Returns;2011;Electronic Arts
91;Alien Hominid;2004;Zoo Digital Publishing
92;Alien Resurrection;2000;Fox Interactive
93;Alien Syndrome;2007;Sega
94;Alien Trilogy;1996;Acclaim Entertainment
95;Alien: Isolation;2014;Sega
96;Aliens: Colonial Marines;2013;Sega
97;Aliens: Infestation;2011;Sega
98;All Star Cheer Squad 2;2009;THQ
99;All-Pro Football 2K8;2007;Take-Two Interactive
100;All-Star Baseball 2000;1999;Acclaim Entertainment
101;All-Star Baseball 2001;2000;Acclaim Entertainment
102;All-Star Baseball 2002;2001;Acclaim Entertainment
103;All-Star Baseball 2003;2002;Acclaim Entertainment
104;All-Star Baseball 2004;2003;Acclaim Entertainment
105;All-Star Baseball 2005;N/A;Unknown
106;Alone in the Dark;2008;Atari
107;Alone in the Dark: Inferno;2008;Atari
108;Alpha Protocol;2010;Sega
