IdGame;IdLocation;IdPlatform;IdGenre;Score;Sales
1;1;17;5;5.0;0.3
1;2;17;5;5.0;0.2
1;3;17;5;5.0;0
1;4;17;5;5.0;0.03
2;1;13;8;8.9;1.13
2;1;17;8;6.9;0.51
2;2;13;8;8.9;0.38
2;2;17;8;6.9;0.35
2;3;13;8;8.9;0.02
2;3;17;8;6.9;0
2;4;13;8;8.9;0.03
2;4;17;8;6.9;0.06
3;1;17;4;5.0;1.72
3;2;17;4;5.0;1.33
3;3;17;4;5.0;0
3;4;17;4;5.0;0.16
4;1;18;11;4.5;0.08
4;2;18;11;4.5;0
4;3;18;11;4.5;0
4;4;18;11;4.5;0.01
5;1;10;12;8.2;0
5;2;10;12;8.2;0.25
5;3;10;12;8.2;0
5;4;10;12;8.2;0.05
6;1;5;3;8.2;0.14
6;1;27;3;8.3;0.21
6;2;5;3;8.2;0.04
6;2;27;3;8.3;0.17
6;3;5;3;8.2;0
6;3;27;3;8.3;0.16
6;4;5;3;8.2;0.01
6;4;27;3;8.3;0.06
7;1;3;3;8.3;0.32
7;1;11;3;6.5;0.23
7;1;21;3;8.3;0.3
7;1;22;3;6.0;0.09
7;2;3;3;8.3;0.43
7;2;11;3;6.5;0.15
7;2;21;3;8.3;0.64
7;2;22;3;6.0;0.24
7;3;3;3;8.3;0.02
7;3;11;3;6.5;0.01
7;3;21;3;8.3;0.07
7;3;22;3;6.0;0.03
7;4;3;3;8.3;0.09
7;4;11;3;6.5;0.04
7;4;21;3;8.3;0.22
7;4;22;3;6.0;0.12
8;1;3;3;7.5;0.14
8;1;21;3;7.5;0.15
8;2;3;3;7.5;0.28
8;2;21;3;7.5;0.39
8;3;3;3;7.5;0
8;3;21;3;7.5;0.01
8;4;3;3;7.5;0.04
8;4;21;3;7.5;0.16
9;1;27;2;4.2;0.15
9;2;27;2;4.2;0.12
9;3;27;2;4.2;0
9;4;27;2;4.2;0.04
10;1;5;4;3.1;0.12
10;1;27;4;3.0;0.35
10;2;5;4;3.1;0.04
10;2;27;4;3.0;0.01
10;3;5;4;3.1;0
10;3;27;4;3.0;0
10;4;5;4;3.1;0.01
10;4;27;4;3.0;0.06
11;1;22;8;5.7;0.27
11;2;22;8;5.7;0.08
11;3;22;8;5.7;0
11;4;22;8;5.7;0.06
12;1;21;13;8.5;0.36
12;2;21;13;8.5;0.12
12;3;21;13;8.5;0.03
12;4;21;13;8.5;0.07
13;1;10;1;8.0;0
13;2;10;1;8.0;0.04
13;3;10;1;8.0;0
13;4;10;1;8.0;0.01
14;1;17;10;5.5;0.17
14;2;17;10;5.5;0.12
14;3;17;10;5.5;0
14;4;17;10;5.5;0.02
15;1;5;5;7.1;0.18
15;2;5;5;7.1;0.05
15;3;5;5;7.1;0
15;4;5;5;7.1;0.01
16;1;3;4;7.1;0.12
16;1;21;4;7.1;0.1
16;2;3;4;7.1;0.07
16;2;21;4;7.1;0.06
16;3;3;4;7.1;0
16;3;21;4;7.1;0.01
16;4;3;4;7.1;0.02
16;4;21;4;7.1;0.03
17;1;5;8;6.5;0.33
17;1;27;8;6.5;0.85
17;2;5;8;6.5;0.1
17;2;27;8;6.5;0.76
17;3;5;8;6.5;0
17;3;27;8;6.5;0
